BarID,Bar Name,Drink Name, Price , Happy Hour Price 
0,Evil Roy Slades,Toasted Almond,7.00,3.50
0,Evil Roy Slades,Rum and Coke,8.00,4.00
0,Evil Roy Slades,Allagash White,9.00,4.50
0,Evil Roy Slades,Ranger,6.00,3.00
0,Evil Roy Slades,Rum Runner,7.00,3.50
0,Evil Roy Slades,Bards Tale,6.00,3.00
0,Evil Roy Slades,Honey Brown,8.00,4.00
0,Evil Roy Slades,Planter's Punch,5.00,2.50
0,Evil Roy Slades,Sam Adams Light,9.00,4.50
0,Evil Roy Slades,Hefeweizen,5.00,2.50
0,Evil Roy Slades,Kamakazi Shot,9.00,4.50
0,Evil Roy Slades,Highball,10.00,5.00
0,Evil Roy Slades,Bay Breeze,10.00,5.00
0,Evil Roy Slades,Murree Beer,9.00,4.50
0,Evil Roy Slades,Boddingtons,8.00,4.00
0,Evil Roy Slades,Northwoords Lager,5.00,2.50
0,Evil Roy Slades,Kingfisher,6.00,3.00
0,Evil Roy Slades,Dos Equis,9.00,4.50
0,Evil Roy Slades,Pina Colada,9.00,4.50
0,Evil Roy Slades,Sierra Nevada Nooner Pilsner,9.00,4.50
0,Evil Roy Slades,Manger's Irish Cider,8.00,4.00
1,Western Ny Communications,Brave Bull,10.00,6.00
1,Western Ny Communications,Moose Drool,10.00,6.00
1,Western Ny Communications,Harvey Wallbanger,7.00,4.20
1,Western Ny Communications,Smith & Kerns,5.00,3.00
1,Western Ny Communications,Lost Abbey Inferno Ale,6.00,3.60
1,Western Ny Communications,Michelob Ultra Light,7.00,4.20
1,Western Ny Communications,Brahma Beer,8.00,4.80
1,Western Ny Communications,Goldstar,6.00,3.60
1,Western Ny Communications,Celis White,6.00,3.60
1,Western Ny Communications,Old Style,8.00,4.80
1,Western Ny Communications,Bud Light Lime,9.00,5.40
1,Western Ny Communications,Angry Orchird,7.00,4.20
1,Western Ny Communications,Southern Tier Pumking,7.00,4.20
1,Western Ny Communications,Bintang Beer,7.00,4.20
1,Western Ny Communications,Fog Cutter,7.00,4.20
1,Western Ny Communications,Daiquiri,8.00,4.80
1,Western Ny Communications,Tequila Sunrise,7.00,4.20
1,Western Ny Communications,Long Island Iced Tea,7.00,4.20
1,Western Ny Communications,Mind Eraser,5.00,3.00
1,Western Ny Communications,Blue Moon,10.00,6.00
1,Western Ny Communications,Original,8.00,4.80
1,Western Ny Communications,Harp,10.00,6.00
1,Western Ny Communications,Zombie,6.00,3.60
1,Western Ny Communications,Smith & Kerns,6.00,3.60
2,Brick House,Tusker,7.00,4.90
2,Brick House,Salty Dog,7.00,4.90
2,Brick House,Rolling Rock,9.00,6.30
2,Brick House,Tusker,9.00,6.30
2,Brick House,Punkin Ale,10.00,7.00
2,Brick House,Corona,8.00,5.60
2,Brick House,White Bull,7.00,4.90
2,Brick House,Irish Car Bomb,8.00,5.60
2,Brick House,Greyhound,10.00,7.00
2,Brick House,Depth Charge,6.00,4.20
2,Brick House,Mind Eraser,7.00,4.90
2,Brick House,Miller Lite,6.00,4.20
2,Brick House,Heineken,5.00,3.50
2,Brick House,Snow Beer,7.00,4.90
2,Brick House,Alaskan Pale,8.00,5.60
2,Brick House,Manger's Irish Cider,8.00,5.60
2,Brick House,French Connection/ Beautiful,9.00,6.30
2,Brick House,Godfather,6.00,4.20
3,Oak Room,Southern Tier India Pale Ale,10.00,5.00
3,Oak Room,Coors light,7.00,3.50
3,Oak Room,Bacardi Cocktail,7.00,3.50
3,Oak Room,Whitetail Wheat,9.00,4.50
3,Oak Room,Vodka Shot,7.00,3.50
3,Oak Room,Short Sours,5.00,2.50
3,Oak Room,Bahama Mama,8.00,4.00
3,Oak Room,Margarita,6.00,3.00
3,Oak Room,Chimay Premiere,6.00,3.00
3,Oak Room,Scotch and Soda,7.00,3.50
3,Oak Room,Martini,10.00,5.00
3,Oak Room,Old Fashioned,8.00,4.00
3,Oak Room,Manhattan,9.00,4.50
3,Oak Room,Harvey Wallbanger,5.00,2.50
3,Oak Room,Smith & Kerns,7.00,3.50
3,Oak Room,Rootbeer Float,6.00,3.00
3,Oak Room,Sam Adams Light,8.00,4.00
3,Oak Room,Bourbon + Berries,9.00,4.50
3,Oak Room,Lynchburg Lemonade,6.00,3.00
3,Oak Room,Dirty White Mother,9.00,4.50
3,Oak Room,Celis White,10.00,5.00
3,Oak Room,Mango Summer Squeeze,8.00,4.00
4,Player's Night Club,Irish Peach Sour,7.00,4.20
4,Player's Night Club,Godfather,6.00,3.60
4,Player's Night Club,Whiskey and Water,8.00,4.80
4,Player's Night Club,Samual Smith's Porter,5.00,3.00
4,Player's Night Club,Hefeweizen,9.00,5.40
4,Player's Night Club,Colorado Bulldog,9.00,5.40
4,Player's Night Club,Miller Lite,7.00,4.20
4,Player's Night Club,Juice Type,8.00,4.80
4,Player's Night Club,Two Liquor Drinks,9.00,5.40
4,Player's Night Club,Sierra Nevada Nooner Pilsner,5.00,3.00
4,Player's Night Club,Cape Cod,8.00,4.80
4,Player's Night Club,Lost Abbey Inferno Ale,9.00,5.40
4,Player's Night Club,Heineken,5.00,3.00
4,Player's Night Club,Tequila Sunrise,10.00,6.00
4,Player's Night Club,Red Stripe,8.00,4.80
4,Player's Night Club,Tecate,5.00,3.00
4,Player's Night Club,Murree Beer,7.00,4.20
4,Player's Night Club,Gimlet,9.00,5.40
4,Player's Night Club,Chimay Premiere,6.00,3.60
4,Player's Night Club,Jolly Rancher,9.00,5.40
4,Player's Night Club,Asahi,5.00,3.00
4,Player's Night Club,Gin Rickey,8.00,4.80
4,Player's Night Club,Dos Equis,10.00,6.00
4,Player's Night Club,Guiness Draught,10.00,6.00
5,Hanging Tree Saloon,Madras,7.00,4.20
5,Hanging Tree Saloon,Special Export,6.00,3.60
5,Hanging Tree Saloon,Long Island Iced Tea,9.00,5.40
5,Hanging Tree Saloon,Boulevard Pale Ale,7.00,4.20
5,Hanging Tree Saloon,Godmother,8.00,4.80
5,Hanging Tree Saloon,Foster's Lager,9.00,5.40
5,Hanging Tree Saloon,Victoria Bitter,5.00,3.00
5,Hanging Tree Saloon,Colorado Bulldog,5.00,3.00
5,Hanging Tree Saloon,Goldstar,10.00,6.00
5,Hanging Tree Saloon,Yuengling,5.00,3.00
5,Hanging Tree Saloon,Dirty White Mother,9.00,5.40
5,Hanging Tree Saloon,Red Stripe,10.00,6.00
5,Hanging Tree Saloon,Exotic Drinks,5.00,3.00
5,Hanging Tree Saloon,Amstel Light,10.00,6.00
5,Hanging Tree Saloon,Henry Weinhard's Amber Ale,6.00,3.60
5,Hanging Tree Saloon,Gin and Tonic,6.00,3.60
6,The Underdark Tavern,Red Lager,7.00,5.60
6,The Underdark Tavern,Celis White,10.00,8.00
6,The Underdark Tavern,Punkin Ale,9.00,7.20
6,The Underdark Tavern,Gibson,7.00,5.60
6,The Underdark Tavern,Amstel Light,6.00,4.80
6,The Underdark Tavern,Juice Type,8.00,6.40
6,The Underdark Tavern,Electric Lemonade,8.00,6.40
6,The Underdark Tavern,Demented Scarlet Knight,9.00,7.20
6,The Underdark Tavern,Liquid Cocaine,9.00,7.20
